Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Dollar Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/14/2015,08/16/2015,2,1
Graves Island,MA ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/14/2015,07/15/2015,1,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/13/2015,08/14/2015,1,1
Porters Lake,ON ,CANADA ,1,,1,CampsitePermit,Full,Less than 30ft,08/24/2015,08/25/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/26/2015,06/28/2015,2,1
Five Islands,NS ,CANADA ,4,2,6,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/15/2015,08/18/2015,3,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/25/2015,08/26/2015,1,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/02/2015,08/04/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/26/2015,09/29/2015,3,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/17/2015,08/18/2015,1,1
Graves Island,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/18/2015,09/21/2015,3,1
Porters Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,05/16/2015,05/18/2015,2,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/06/2015,08/07/2015,1,1
Smileys,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,08/02/2015,08/03/2015,1,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 40ft,10/09/2015,10/12/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/18/2015,09/20/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/10/2015,08/13/2015,3,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/10/2015,07/12/2015,2,1
Five Islands,NS ,CANADA ,1,2,3,CampsitePermit,Full,Tents,07/24/2015,07/26/2015,2,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/06/2015,07/09/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,08/14/2015,08/16/2015,2,1
Battery,BC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/22/2015,06/24/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/16/2015,08/21/2015,5,1
Mira River,NB ,CANADA ,1,3,4,CampsitePermit,Full,Tents,08/17/2015,08/21/2015,4,1
Valleyview,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/14/2015,08/17/2015,3,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/17/2015,08/20/2015,3,1
Caribou Munroes,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/28/2015,08/29/2015,1,1
Amherst Shore,MO ,USA ,2,,2,CampsitePermit,Senior,Single Tent,08/14/2015,08/15/2015,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,FULL,Less than 30ft,06/28/2015,06/29/2015,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/06/2015,07/10/2015,4,1
Five Islands,ME ,USA ,1,,1,CampsitePermit,Full,Single Tent,08/05/2015,08/06/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/15/2015,08/16/2015,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,06/25/2015,06/27/2015,2,1
Ellenwood Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,05/23/2015,05/24/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/19/2015,07/22/2015,3,1
Blomidon,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Valleyview,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/04/2015,09/05/2015,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Amherst Shore,ON ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/05/2015,08/06/2015,1,1
Blomidon,ON ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/02/2015,07/03/2015,1,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/31/2015,08/02/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/06/2015,06/09/2015,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/08/2015,07/10/2015,2,1
Five Islands,NH ,USA ,3,,3,CampsitePermit,Full,Less than 20ft,09/05/2015,09/08/2015,3,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/16/2015,06/19/2015,3,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/24/2015,07/26/2015,2,1
Rissers Beach,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,07/23/2015,07/26/2015,3,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/26/2015,08/02/2015,7,1
Dollar Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/10/2015,07/12/2015,2,1
Graves Island,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,08/05/2015,08/08/2015,3,1
Porters Lake,RI ,USA ,2,2,4,CampsitePermit,Full,Single Tent,07/01/2015,07/02/2015,1,1
Ellenwood Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/31/2015,09/01/2015,1,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,07/03/2015,07/05/2015,2,1
Rissers Beach,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/17/2015,07/18/2015,1,1
Caribou Munroes,SWITZERLAND ,OTHER,3,,3,CampsitePermit,Full,Less than 30ft,07/30/2015,07/31/2015,1,1
Whycocomagh,BC ,CANADA ,3,1,4,CampsitePermit,Full,Single Tent,07/23/2015,07/24/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/19/2015,07/24/2015,5,1
The Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,09/05/2015,09/07/2015,2,1
Laurie,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/20/2015,07/21/2015,1,1
Blomidon,MA ,USA ,2,2,4,CampsitePermit,Full,Single Tent,07/03/2015,07/10/2015,7,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,07/31/2015,08/02/2015,2,1
Graves Island,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2015,08/05/2015,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,07/24/2015,07/27/2015,3,1
Five Islands,GERMANY ,OTHER,3,,3,CampsitePermit,Full,Less than 20ft,09/15/2015,09/17/2015,2,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/17/2015,07/19/2015,2,1
Thomas Raddall,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/04/2015,07/05/2015,1,1
Thomas Raddall,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/09/2015,07/11/2015,2,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/20/2015,06/21/2015,1,1
Caribou Munroes,FRANCE ,OTHER,2,,2,CampsitePermit,Full,Single Tent,09/04/2015,09/05/2015,1,1
Graves Island,AB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/19/2015,06/22/2015,3,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/27/2015,08/29/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/20/2015,08/23/2015,3,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,07/12/2015,07/14/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/30/2015,09/04/2015,5,1
Mira River,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,08/01/2015,08/02/2015,1,1
Boylston,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/26/2015,06/27/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/26/2015,06/28/2015,2,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,10/08/2015,10/10/2015,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/20/2015,08/21/2015,1,1
Five Islands,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/05/2015,08/06/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/19/2015,08/21/2015,2,1
Dollar Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/05/2015,07/08/2015,3,1
Laurie,UK,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,06/18/2015,06/19/2015,1,1
Salsman,NY ,USA ,1,,1,CampsitePermit,Full,Single Tent,07/13/2015,07/14/2015,1,1
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Senior,Less than 30ft,06/05/2015,06/08/2015,3,1
Blomidon,SWITZERLAND ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,06/20/2015,06/21/2015,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/14/2015,08/18/2015,4,1
Rissers Beach,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/23/2015,06/24/2015,1,1
Dollar Lake,BC ,CANADA ,4,1,5,CampsitePermit,Full,Less than 30ft,08/07/2015,08/08/2015,1,1
Ellenwood Lake,GERMANY ,OTHER,2,1,3,CampsitePermit,Full,Less than 30ft,05/21/2015,05/22/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/05/2015,08/07/2015,2,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/02/2015,09/03/2015,1,1
Amherst Shore,AB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/22/2015,08/23/2015,1,1
Blomidon,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/05/2015,07/07/2015,2,1
Porters Lake,NS ,CANADA ,5,1,6,CampsitePermit,Full,Tents,09/05/2015,09/07/2015,2,1
Boylston,SK ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/23/2015,06/24/2015,1,1
Thomas Raddall,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,07/29/2015,08/02/2015,4,1
Graves Island,WA ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,08/16/2015,08/17/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,06/01/2015,06/05/2015,4,1
Blomidon,VT ,USA ,2,3,5,CampsitePermit,Full,Single Tent,08/21/2015,08/22/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,05/15/2015,05/18/2015,3,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/26/2015,07/03/2015,7,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/16/2015,08/18/2015,2,1
Blomidon,NS ,CANADA ,3,1,4,CampsitePermit,Full,Tents,08/17/2015,08/21/2015,4,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/20/2015,06/21/2015,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/18/2015,07/20/2015,2,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,09/04/2015,09/05/2015,1,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/13/2015,09/14/2015,1,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/23/2015,07/24/2015,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,06/12/2015,06/14/2015,2,1
Porters Lake,GERMANY ,OTHER,2,1,3,CampsitePermit,Full,Less than 40ft,06/04/2015,06/05/2015,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,09/04/2015,09/07/2015,3,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/05/2015,08/06/2015,1,1
Dollar Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/15/2015,08/18/2015,3,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,05/15/2015,05/18/2015,3,1
Laurie,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,09/05/2015,09/07/2015,2,1
Boylston,BC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/23/2015,08/24/2015,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/30/2015,08/01/2015,2,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,09/04/2015,09/07/2015,3,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/13/2015,08/14/2015,1,1
Dollar Lake,NS ,CANADA ,1,1,2,CampsitePermit,Full,Tents,07/11/2015,07/12/2015,1,1
Thomas Raddall,QC ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/04/2015,08/05/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/18/2015,06/19/2015,1,1
Battery,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,07/03/2015,07/04/2015,1,1
Porters Lake,SK ,CANADA ,1,,1,CampsitePermit,Full,Less than 20ft,07/31/2015,08/01/2015,1,1
Dollar Lake,NS ,CANADA ,5,,5,CampsitePermit,Full,Tents,08/07/2015,08/10/2015,3,1
Caribou Munroes,NB ,CANADA ,24,,24,CampsitePermit,Full,Less than 20ft,08/23/2015,08/24/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/27/2015,08/28/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/15/2015,07/17/2015,2,1
Five Islands,CT ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/05/2015,08/06/2015,1,1
Graves Island,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/07/2015,08/08/2015,1,1
Smileys,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/04/2015,07/05/2015,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,06/25/2015,06/29/2015,4,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/21/2015,08/23/2015,2,1
Mira River,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/03/2015,08/04/2015,1,1
Battery,BELGIUM ,OTHER,4,,4,CampsitePermit,Full,Less than 40ft,08/30/2015,08/31/2015,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/23/2015,07/26/2015,3,1
Graves Island,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/21/2015,07/24/2015,3,1
Mira River,NS ,CANADA ,2,4,6,CampsitePermit,Full,Single Tent,08/05/2015,08/06/2015,1,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,06/20/2015,06/21/2015,1,1
Smileys,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 40ft,07/01/2015,07/04/2015,3,1
Caribou Munroes,NS ,CANADA ,2,0,2,CampsitePermit,Full,Single Tent,07/21/2015,07/22/2015,1,1
Graves Island,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/12/2015,08/15/2015,3,1
Thomas Raddall,NY ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/25/2015,08/26/2015,1,1
The Islands,ON ,CANADA ,4,,4,CampsitePermit,Full,Less than 40ft,08/16/2015,08/17/2015,1,1
Five Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,09/04/2015,09/06/2015,2,1
Porters Lake,FL ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/08/2015,09/09/2015,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/03/2015,07/04/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/18/2015,09/19/2015,1,1
Valleyview,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/19/2015,08/23/2015,4,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/14/2015,08/16/2015,2,1
Mira River,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/30/2015,08/02/2015,3,1
Salsman,AUSTRIA ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,06/24/2015,06/26/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/24/2015,07/26/2015,2,1
Amherst Shore,UK,OTHER,1,,1,CampsitePermit,Full,Single Tent,07/20/2015,07/22/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/14/2015,08/16/2015,2,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/10/2015,08/14/2015,4,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,06/25/2015,06/27/2015,2,1
Dollar Lake,NS ,CANADA ,4,1,5,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Dollar Lake,NS ,CANADA ,3,2,5,CampsitePermit,Full,Tents,08/21/2015,08/24/2015,3,1
Salsman,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,09/04/2015,09/06/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,05/29/2015,05/31/2015,2,1
Dollar Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,07/30/2015,08/02/2015,3,1
Dollar Lake,NS ,CANADA ,4,2,6,CampsitePermit,Senior,Tents,08/06/2015,08/09/2015,3,1
Caribou Munroes,NC ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,08/26/2015,08/27/2015,1,1
Whycocomagh,FRANCE ,OTHER,2,1,3,CampsitePermit,Full,Less than 20ft,08/10/2015,08/11/2015,1,1
Graves Island,PE ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/23/2015,07/26/2015,3,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,06/13/2015,06/14/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2015,07/25/2015,1,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/04/2015,09/07/2015,3,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/09/2015,07/10/2015,1,1
Caribou Munroes,ON ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,09/02/2015,09/03/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/06/2015,09/07/2015,1,1
Laurie,NS ,CANADA ,1,3,4,CampsitePermit,Full,Single Tent,08/31/2015,09/01/2015,1,1
Laurie,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,06/12/2015,06/14/2015,2,1
Mira River,MA ,USA ,2,2,4,CampsitePermit,Full,Single Tent,07/30/2015,08/01/2015,2,1
Rissers Beach,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,09/27/2015,09/28/2015,1,1
Salsman,NS ,CANADA ,1,1,2,CampsitePermit,Full,Less than 30ft,08/01/2015,08/05/2015,4,1
Blomidon,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/03/2015,07/05/2015,2,1
Blomidon,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/28/2015,08/29/2015,1,1
Porters Lake,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Valleyview,AB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/14/2015,07/15/2015,1,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,08/21/2015,08/23/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/03/2015,08/06/2015,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,06/08/2015,06/09/2015,1,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,06/05/2015,06/07/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/29/2015,08/30/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/26/2015,06/28/2015,2,1
Rissers Beach,NS ,CANADA ,1,1,2,CampsitePermit,Full,Less than 20ft,09/19/2015,09/20/2015,1,1
Porters Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Five Islands,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/04/2015,09/07/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/23/2015,08/24/2015,1,1
Battery,MA ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/13/2015,07/14/2015,1,1
Laurie,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,06/13/2015,06/14/2015,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/21/2015,08/23/2015,2,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,10/10/2015,10/12/2015,2,1
Five Islands,ON ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/12/2015,07/13/2015,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/04/2015,06/07/2015,3,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/31/2015,08/01/2015,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/20/2015,08/23/2015,3,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,06/26/2015,07/05/2015,9,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/04/2015,07/05/2015,1,1
Dollar Lake,NB ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/07/2015,08/10/2015,3,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/03/2015,08/06/2015,3,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,09/06/2015,09/07/2015,1,1
Graves Island,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Single Tent,06/12/2015,06/13/2015,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,07/24/2015,07/26/2015,2,1
Whycocomagh,ME ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2015,07/29/2015,5,1
Amherst Shore,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,09/04/2015,09/07/2015,3,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/25/2015,09/27/2015,2,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,06/27/2015,06/28/2015,1,1
Five Islands,MD ,USA ,1,,1,CampsitePermit,Full,Single Tent,07/10/2015,07/11/2015,1,1
Dollar Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,09/04/2015,09/07/2015,3,1
Porters Lake,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,05/29/2015,05/30/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/18/2015,07/20/2015,2,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/24/2015,07/26/2015,2,1
Dollar Lake,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Laurie,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/05/2015,07/06/2015,1,1
Battery,TN ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,06/23/2015,06/24/2015,1,1
The Islands,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/31/2015,08/01/2015,1,1
Whycocomagh,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/06/2015,09/07/2015,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/14/2015,08/16/2015,2,1
Rissers Beach,NS ,CANADA ,3,2,3,CampsitePermit,Full,Single Tent,08/09/2015,08/10/2015,,
Mira River,NS ,CANADA ,2,2,2,CampsitePermit,Full,Less than 30ft,07/05/2015,07/13/2015,,
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,07/31/2015,08/03/2015,3,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/03/2015,08/06/2015,3,1
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,06/26/2015,06/27/2015,1,1
Five Islands,ON ,CANADA ,1,,1,CampsitePermit,Full,Less than 20ft,08/22/2015,08/23/2015,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/01/2015,08/03/2015,2,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/17/2015,07/19/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/01/2015,08/03/2015,2,1
Mira River,TX ,USA ,1,2,3,CampsitePermit,Full,Single Tent,06/23/2015,06/24/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/06/2015,08/07/2015,1,1
Amherst Shore,NY ,USA ,1,,1,CampsitePermit,Full,Single Tent,08/08/2015,08/09/2015,,
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/12/2015,06/14/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/14/2015,06/16/2015,2,1
Five Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/29/2015,08/30/2015,1,1
Five Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/31/2015,08/01/2015,1,1
Cape Chignecto,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/06/2015,08/08/2015,2,1
